경력,주요 업무,자격 요건,우대사항,기술
신입,"AI 머신러닝과 보안은 눈에 보이지 않는 데이터를 다루므로, 클럼엘 솔루션의 가치는 프론트 엔드에 크게 좌우됩니다. AI 머신러닝의 데이터 분석이 뛰어나도 사용자가 효과적으로 체감할 수 있어야 가치가 생겨나고, 보안 위협의 탐지도 사용자에게 신뢰를 줄 수 있어야 대응할 의미가 발생합니다. 딥테크 분야일수록 프론트 엔드가 곧 솔루션입니다.

클럼엘의 신입 프론트엔드 소프트웨어 엔지니어는 주어진 설계에 따라 효율적인 코드를 만드는 것에 집중하게 됩니다. 사용자 경험과 디자인의 대부분은 정의되어 있으므로, 정의된 내용을 빠짐없이 올바르게 구현하는 것이 첫번째 해야 할 일입니다. 그러나, 기 설계에서 자세하게 다루지 않은 부분을 능동적으로 찾아내기까지 한다면 더 많은 기여를 하게 될 것입니다. 다양한 사용자 환경을 포괄해야 하는 만큼, 다양한 버전이 필요합니다. 자신이 잘 하는 환경에서 더 많이 기여할 수 있을 뿐만 아니라, 새로운 환경에서 경험과 능력을 쌓아 나갈 수 있습니다.


프론트엔드 소프트웨어 엔지니어의 업무 목록입니다.

[On-Premises 제품을 위한 다양한 버전의 프론트엔드 개발]
• Rust를 사용한 WebAssembly 버전 : 기 개발된 소프트웨어의 고도화 및 추가 기능 개발
- 재사용 가능한 UI 컴포넌트 라이브러리 개발
- 상기 라이브러리를 사용하는 UI 개발
• 클럼엘 소프트웨어 모듈들의 설정 및 제어 기능
• AI 머신러닝 모델의 설정 및 현황
• AI가 분석할 대상으로서 저장되어 있는 빅데이터의 검색 및 확인 기능
• 탐지된 개별 위협의 시각화
• 탐지 위협의 검색
• AI 분석 결과를 확인하여 신뢰도를 제고하는 선별(Triage)
• 각종 외부 정보 제공
• 대시보드
• 빅데이터 저장 및 검색

• Spring/React 기반 버전
- WebAssembly 버전 이식

• iPad, Android Tablet 버전
- WebAssembly 버전 이식

[SaaS 서비스 개발]
• 클라우드에서 SaaS 환경 개발
- 사용자의 구독 및 이용 설정
- 빌링 시스템
- 고객 및 이용 현황 통계

• On-Premises 제품 기능 이식","• 이공계 학사 졸업 혹은 졸업 예정이신 분
• C++, C#, Java, Rust 중 1개 이상 코딩 경험이 있으신 분
• Git 버전 관리 시스템 사용 경험이 있으신 분","• Rust 개발 경험이 있으신 분
• 보안 솔루션 기업 혹은 네트워크 보안 기업 경력을 보유하신 분
• 머신러닝 데이터 분석 경험이 있으신 분
• 클라우드 환경에서 업무 경험이 있으신 분
• 컴퓨터 공학 및 유관학과 학사 이상의 학위를 소지하신 분",
"신입, 경력","• 다양한 웹 페이지와 연계되는 서비스의 새로운 기능들과 서비스 운영 효율화를 위한 개발
• 스마트 의료자산 관리 프론트엔드 개발
• 신규 사업 프론트엔드 개발","이런 기술을 사용합니다.
• React
• TypeScript
• Tanstack Query (React Query)
• zustand
• styled components, tailwind, Scss
• Yarn
• ESLint, Prettier

• React 사용에 능숙하신 분
• TypeScript, JavaScript, HTML, CSS로 능숙하게 개발하실 수 있는 분
• 다양한 화면 크기에 맞춰 반응형 웹을 개발해보신 경험이 있는 분
• 동료와 팀워크를 기반으로 함께 기술적으로 성장하고자 하는 마인드를 가진 분
• 새로운 것을 배우는 것에 대한 주저함이 없은 분
• 단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 솔루션을 제안할 수 있는 분","• 반응형 디자인, 웹 접근성, 웹 표준을 고려한 UI/UX 개발 경험 있으신 분
• 테스트 코드 작성에 익숙하고 코드 리뷰 문화를 지향하는 분
• 요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분
• 성능 이슈, 메모리 누수 최적화 경험이 있으신 분",
"신입, 경력","• React, GraphQL 을 활용하여 다양한 웹서비스를 구현합니다.
• D3.js 기반으로 데이터 시각화 모듈을 개발하고, 해당 라이브러리의 오픈소스화에 기여합니다.
• SEO를 통한 트래픽 향상에 기여하며 이를 지속적으로 관리합니다.
• 치열한 코드 리뷰와 기술 논의를 통해 최고 수준의 코드 품질을 유지합니다.
• ERD, 스키마 설계를 통해 응용 프로그램의 개념적, 논리적 완결성을 높입니다.
• 기존 제품의 유지관리 및 지속 가능성을 높이기 위한 내부 모듈을 설계하고 유지관리 합니다.•","• 3년 미만의 프론트엔드 개발 경력 혹은 유사 수준의 개발 역량이 있으신 분
• 경력 1-2년 내외 지원자의 경우에는 Home-Test (사전과제) 가 진행됩니다.
• Javascript, HTML, CSS에 대한 높은 기술적 이해도를 가지고 있는 분
• React를 사용해 본 경험이 있는 분
• 수동적 업무 수행보다는 항상 ‘왜?’에 대해 고민하고, 더 나은 ‘추상화’ 를 위해 끊임없이 노력하시는 분
• 기술적 타협과 지름길을 지양하며 높은 에너지와 끈기를 가지고 빠르게 성장할 수 있는 분
• 개념적, 논리적 설계의 완결성에 대한 필요성에 대해 공감하시는 분","• GraphQL에 대한 높은 이해도를 가지고 있는 분
• 높은 수준으로 Typescript를 사용할 수 있는 분
• D3 기반의 data visualization에 대한 경험이 있는 분
• 높은 수준의 SEO 관리 경험이 있는 분
• Framework에 종속되지 않은 근본적인 개발에 대한 경험이 있는 분
• 컴퓨터 공학 연관 전공 학위를 소지하신 분
• 비즈니스 레벨의 영어 커뮤니케이션이 가능하신 분",
"신입, 경력","【담당하게 될 업무】
• 웹 기반 프론트엔드 개발 및 유지보수
• 실시간 환자 데이터 시각화를 위한 대용량 데이터 처리 및 최적화
• SPA 기반의 UI/UX 구현 및 성능 개선
• WebSocket, REST API 연동을 통한 실시간 데이터 모니터링 기능 개발
• 의료진과 사용자들의 피드백을 반영하여 사용자 친화적인 UI/UX 개선
• 디자인 시스템 및 공용 컴포넌트 구축을 통한 개발 효율화
• 백엔드 개발자, 디자이너, 의료 전문가와 협업

【개발환경】
• 사용언어: TypeScript
• 개발환경 및 도구: Angular, React, D3.js, RxJS, Zustand, React Query, WebSocket

【필요역량】
• 문제 해결력: 실시간 데이터 시각화 및 최적화 문제를 해결하는 역량
• 논리적 사고력: 복잡한 의료 데이터를 효과적으로 표현하는 구조 설계 능력
• 책임감: 환자의 생체 데이터를 다루는 만큼 안정성과 신뢰성을 최우선으로 고려하는 자세
• 커뮤니케이션: 의료진, 디자이너, 백엔드 개발자와 원활한 협업을 위한 커뮤니케이션 능력
• 자기 주도적 학습: 새로운 기술과 의료 IT 트렌드에 대한 지속적인 관심과 학습 태도","• 대한민국 거주 한국인
• React, TypeScript 기반의 웹 애플리케이션 개발 경험
• HTML, CSS, JavaScript(ES6+)에 대한 깊은 이해
• Git을 활용한 협업 및 코드 관리 경험
• 팀원들과 원활하게 소통하며 문제를 해결하는 능력","• 원주 근무 가능자
• 의료/헬스케어 IT 서비스 개발 경험
• D3.js 등의 데이터 시각화 라이브러리 활용 경험
• Angular, RxJS 등 프론트엔드 기술 스택 경험
• 모니터링 시스템, 대시보드, 실시간 스트리밍 데이터 관련 프로젝트 경험","React, Angular"
신입,"• 현재 서비스에 대한 사용자 리뉴얼(반응형) 및 관리자모드 개발
• 내부 데이터처리 서비스용 기능을 위한 프론트 개발
• 현재 서비스 고도화
• AI 서비스기능 관련 UI개발
• 차트 및 시각화 개발
• AI 서비스기능 관련 UI개발
• 차트 및 시각화 개발","• TypeScript, JavaScript(ES6 +) 개발 가능한 분
• Next.js(React) 개발 가능한 분
• React 상태 관리 라이브러리 경험이 있으신분 (e.g. Zustand, etc)
• SPA/SSR 에 대한 개발 이해 및 개발 가능한 분
• 웹표준, 접근성/크로스브라우징, 반응형 웹 및 개발자 도구 기반의 웹클라이언트 디버깅 경험이 있는 분
• REST API에 대한 이해와 개발 경험이 있는 분","• 쿠버네티스 기반으로 개발이 가능 하신분
• SST 프레임워크 경험이 있으신 분
• Turbopack, Webpack등 번들러 최적화 경험이 있으신 분
• 테스트 자동화 코드 작성이 가능 하신분 (e.g. Playwright, etc)
• Node.js 혹은 Python 프로젝트 백엔드 이해도가 높으신 분
• SEO 이해 및 경험이 있는 분
• Chrome Extension 개발 경험이 있는 분
• 클라우드 컴퓨팅 환경 (AWS, GCP 등) 이해 혹은 경험이 있는 분
• 데이터 비즈니스에 대한 이해가 있는 분
• AI 관련 프로젝트 참여 경험이 있는 분
• 오픈소스 프로젝트 개발 경험이 있으신 분
• 관련 대학/학과 졸업한 분
• 영어 혹은 외국어를 능숙하게 사용하실 수 있는 분","JavaScript, Python, TypeScript, SEO, Next.js"
"신입, 경력","• 알파리뷰, 알파업셀 유지보수 및 운영
• 알파리뷰, 알파업셀 사용성 개선 및 기능 고도화
• 서비스 안정성, 확장성, 효율성 개선","[기술스택]
- 프론트엔드 개발환경 (React, Vue, Angular 등)
- HTML, Javascript, CSS
- AWS EC2, S3

[우리는 이런 분을 찾고 있어요!]
- CS 전공자 혹은 그에 준하는 이해도가 있는 분
- 신규 프로덕트의 초기 단계부터 런칭까지 개발을 주도하는 경험을 쌓고 싶으신 분
- 피드백을 수용하고 제공하는데에 어려움이 없는 분
- 주도적이고 지속적으로 성장을 추구하는 분
- 의사 결정의 근거를 멋지게 설명해 낼 수 있는 분
- 직무와 업무에 대한 책임감을 가진 분","- Angular, Typescript에 대한 경험이 있는 분
- RESTful API와 HTTP 요청 및 응답에 대한 이해가 있는 분
- Django, Flask, FastAPI 등 파이썬 웹 프레임워크에 대한 경험이 있는 분
- 웹 서비스 성능 측정 및 최적화 경험이 있으신 분
- 객체지향 프로그래밍에 대해 이해하고, 요구사항에 대한 구조 설계 및 구현 경험이 있는 분
- 디자인 패턴의 필요성을 이해하고, 실무에 적용해 본 경험이 있는 분
- AWS 환경 내 서비스 배포 경험이 있는 분
- 보안에 대한 이해가 있으신 분
- 요구사항 분석 부터 개발, 운영까지 프로젝트 전체를 진행한 경험이 있는 분
- 스타트업 개발 경험 및 리딩 경험이 있는 분","CSS, HTML, JavaScript"
"신입, 경력","[합류하면 함께할 업무에요]
• 쿼카크루가 출시한 제품이 시장에 성공적으로 자리 잡을 수 있도록 성장 시키는 역할을 담당해요
• 담당 업무를 해내기 위해 다른 개발자 뿐만 아니라 , Product Owner, Designer 등 다양한 팀원들과 함께 소통해요
• 사용자의 목소리를 기반으로 빠른 제품 개발 주기를 가지고 그 과정 속에서 상황에 맞게 적절한 기술을 결정해요
• 연픽, 아지토의 모바일 웹뷰 / 앱을 개발해요
• 프로덕트를 안정적으로 성장시키기 위한 각종 프론트엔드 이슈를 발견하고 해결해요
• A/B/N 테스트 등의 실험을 주도하며 데이터를 기반으로 프로덕트를 성장시키는데 기여해요","• React , Vue, Angular 등 SPA 프레임워크 사용에 능숙하신 분이면 좋아요
• TypeScript, Flow를 이용한 JavaScript 정적 타입 분석을 경험해보신 분이면 좋아요","• React Native 경험이 있으신 분
• 실제 사용자가 있는 서비스를 개발하고 운영해 보신 분
• Monorepo에 대한 이해가 있으신 분
• ServerSideRendering 환경에 대한 이해가 있으신 분
• 모바일 앱 내 웹뷰 개발 경험이 있으신 분
• 에러 모니터링, 사용자 행동 등 지표들을 측정하고 개선 경험이 있으신 분
• 프론트엔드 개발부터 배포과정까지의 경험이 있으신 분","React, TypeScript, Next.js"
신입,"• 웹 애플리케이션 개발 및 유지보수
• 백엔드와 협업하여 API 연동
• UI/UX 개선
• 개발문서 및 테스트 케이스 작성","• 신입 : 무관
• 경력
- 프론트엔드 실무 경험 2년 이상 또는 이에 준하는 실력을 가지고 계신 분
- React, Vue 등 SPA 기반 프레임워크에 대한 이해가 깊으신 분","• HTML, CSS, JavaScript에 대한 이해가 있으신 분
• 새로운 기술 학습과 적용에 거부감이 없으신 분
• Flutter를 사용하여 iOS/Android 앱 개발 경험이 있으신 분",
"신입, 경력","[Flutter]
• Flutter 기반의 상용 앱/웹 개발
• 앱스토어/플레이스토어 배포 및 유지보수

[프론트엔드]
• React, NextJS 기반 웹 개발
• 백오피스 개발
• 배포 및 유지보수","[Flutter]
• Flutter/Dart 기반 모바일 앱 개발 경험
• iOS/Android 네이티브 개발 경험 또는 이해
• 원활한 커뮤니케이션 및 협업 능력
• 자기 주도적인 문제 해결 능력

[프론트엔드]
• React/Typescript 기반 웹 개발 경험
• 반응형 웹 개발 경험
• 데이터 시각화 경험
• 원활한 커뮤니케이션 및 협업 능력
• 자기 주도적인 문제 해결 능력","• 프로젝트를 처음부터 끝까지 참여하고 운영, 리드까지 경험해 본 분
• 클라우드 환경에 익숙하신 분
• 적극적으로 서비스 개선에 필요한 업무를 찾고 개선할 수 있는 역량이 있으신 분
• 경력 1년 이상 (신입 무관)","CSS, HTML, JavaScript, Flutter, Dart"
신입,"• React, TypeScript를 이용한 웹 서비스 개발/배포/유지보수
• React Native, TypeScript 기반 APP 개발/배포/유지보수","[자격요건 충족 시 지원 부탁드립니다.]
• 컴퓨터공학 관련 학과 4년제 대학 졸업자 혹은 졸업예정자(2025년 02월 졸업 예정자)
• TypeScript 기반의 React 혹은 React Native 개발 경험이 있으신 분
• 모바일 환경 또는 반응형 웹 개발 경험이 있으신 분
• 끊임없는 자기계발을 즐기시는 분","• 사용자를 위한 서비스를 배포, 운영해 본 경험이 있으신 분
• 다양한 브라우저 및 기기에 따라 나타나는 이슈 해결 경험이 있으신 분
• 다양한 프로젝트(학교 팀 프로젝트 포함)를 통해 다양한 팀원과의 협업 경험이 있으신 분
• 이 외 지원자 분의 다양한 경험은 우대사항이 될 수 있습니다.",
