경력,주요 업무,자격 요건,우대사항,기술
신입,"• ‘운빨존많겜’의 다양한 캐릭터들의 스킨 컨셉을 기획하고 디자인 합니다.
• 신규 및 기존 캐릭터를 분석하고 그에 맞는 다양한 아트 컨셉을 제안 합니다.
• 게임 내 다양한 2D 리소스 제작을 서포트 합니다.
• Unity를 이용하여 키 프레임 애니메이션을 제작합니다.","• ‘운빨존많겜’팀의 제작 방향성을 111% 이해하고, 함께 동참하고 싶으신 분을 찾습니다
[본질] 랜덤이 주는 도파민을 깊이 공감하고,
[다름] 틀에 박힌 게임성은 극도로 싫어하며,
[빠름] 모든 열정을 불태웁니다.
• ‘운빨존많겜’의 아트 컨셉을 잘 표현해주실 분을 찾습니다.
• 캐릭터 및 스킨 디자인의 이해도가 높으신 분을 찾습니다.
• 포토샵, 일러스트레이터 등 그래픽 툴 사용이 능숙한 분을 찾습니다.
• 창의적인 발상과 게임의 재미를 시각적으로 표현할 수 있는 능력이 있는 분을 찾습니다.
• 다양한 직군의 동료들과 활발히 협업하며, 업무에 몰입할 수 있는 분을 찾습니다.","• 게임 개발 협업 프로세스에 대한 이해도가 높으신 분이면 더 좋습니다.
• Unity에 대한 기본적인 이해가 있으신 분이면 더 좋습니다.
• 2D 스프라이트 기반 애니메이션 작업에 익숙하신 분이면 더 좋습니다.
• 개성 있고 독특한 아트로 111퍼센트의 개별력과 융합되어 글로벌 게임 시장을 평정하려는 큰 꿈이 있는 분이면 더 좋습니다.",
"신입, 경력","【 이런 일을 해요 】
• 다양한 분야의 온라인 교육 콘텐츠를 제작합니다.
• 교육 콘텐츠 제작을 위해 주로 이런 업무를 하게 됩니다.
• 강의 스크립트를 바탕으로 인포그래픽 기획 및 제작
• 강의 영상 및 자료에 사용될 디자인 요소 제작


【 이런 팀에서 일해요 】
콘텐츠 팀은 현 시대의 교육의 문제점을 직면하고, 이를 해결하기 위해 가장 앞단에 있는 팀입니다.

실무 역량과 콘텐츠 역량을 모두 갖춘 훌륭한 팀원들이 모여 수강생 분들이 보다 쉽게 이해하고, 보다 재미있게 배울 수 있도록 항상 고민합니다. 그리고 깊은 고민 끝에 가장 필요한 주제를 선정하여 모든 레슨이 유기적으로 연결될 수 있도록 커리큘럼을 기획하고 콘텐츠를 제작합니다. 단순히 배우는 것에 그치는 것이 아닌, 사람들이 배움의 기쁨을 느끼고 배움에 빠지도록 합니다.","【 이런 분을 찾고 있어요 】
코드잇은 항상 세계 최고 수준의 콘텐츠를 목표로 합니다.
이러한 콘텐츠의 기획과 제작에 기여하실 수 있는 분을 찾고 있어요.
• 디자인 역량이 뛰어나신 분
• 디자인 툴을 사용하여 원하는 내용을 효과적으로 표현할 수 있습니다
• 레이아웃에 대한 이해를 바탕으로 완성도 있는 화면 구성을 할 수 있습니다
• 강의 영상 및 자료에 사용될 디자인 요소를 제작할 수 있습니다
• 벡터 기반의 그래픽 작업 툴에 능숙하신 분 (Illustrator, Figma 등)
• 이해력과 기획력이 있으신 분
• 프로그래밍, 데이터사이언스, 디자인, 마케팅 등 다양한 분야의 내용을 정확하게 이해할 수 있습니다
• 이해한 내용을 바탕으로, 전달력 있는 영상 화면을 기획할 수 있습니다
• 커뮤니케이션 능력이 뛰어나신 분
• 피드백을 잘 이해하고 반영할 자신이 있습니다
• 또 반대로, 좋은 피드백을 줄 수 있습니다
• 효율적이고 깔끔한 커뮤니케이션에 자신이 있습니다
• 교육 영상 콘텐츠에 관심이 많으신 분","【 이런 분이면 더 좋아요 】
• 완성도 높은 그래픽 디자인이 가능하신 분
• 모션그래픽에 대한 이해도가 있으신 분
• 영어를 잘 하시는 분
• 책임감을 가지고 업무를 수행하실 수 있는 분",
신입,"• 미리캔버스 템플릿 디자인을 기획하고 제작합니다.
• 기존에 서비스 중인 미리캔버스 템플릿을 보다 다양하고 편리하게 사용되기 위한 디자인 리터치(베리에이션) 작업을 수행합니다.
• 특정 주제어와 연관 키워드를 토대로, 웹 콘텐츠 템플릿을 디자인합니다.","• 6개월 이상 근무 가능하신 분
• 시각 디자인 또는 그래픽 디자인 관련 학과 전공자, 졸업예정자 (휴학생 가능)
• 디자인 편집 툴(Adobe Photoshop, illustrator)에 익숙하신 분
• 미리캔버스 사용이 익숙하신 분
• 기여도가 표시된 포트폴리오를 필수로 제출해주시는 분
• 협업을 위한 적극적인 원활한 커뮤니케이션에 능하신 분","• 웹 콘텐츠 및 편집 디자인 경력을 보유하신 분
• 2D/3D 일러스트, 영상 편집 툴, 모션 그래픽 활용 경험이 있으신 분
• 일본어 또는 영어 가능한 분
• A/B테스트, 고객 지표 등을 통한 사용자 중심의 디자인이 가능하신 분
• 디자인 퀄리티에 욕심이 있고 향상에 끈질긴 집념이 있으신 분
• 다양한 이슈 상황 안에서도 책임감을 잃지 않으며 의연하게 대처하시는 분
• 세심하고 꼼꼼한 일 처리가 가능하신 분",
신입,"• 코드잇 부트캠프 및 온라인 코딩 교육 서비스에 대한 마케팅 콘텐츠 제작
- 광고 소재 및 인쇄물 디자인을 비롯한 여러 크리에이티브 콘텐츠를 제작합니다.
• 브랜드 온드미디어 콘텐츠 디자인
- 브랜드 톤앤매너를 바탕으로 코드잇의 인스타그램, 유튜브, 블로그 등의 콘텐츠를 디자인합니다.
• 기타 그래픽 디자인
- 코드잇 팀 전반에서 필요로 하는 그래픽 요소를 디자인합니다.","• Figma, Adobe Photoshop, Adobe Illustrator 등 디자인 툴 사용에 능숙하신 분
• 코드잇의 비전에 공감하며, 원활한 커뮤니케이션 능력을 갖추신 분","• 시각디자인학과 또는 관련 전공하신 분
• 최근 디자인 및 브랜딩 트렌드에 관심이 많으신 분
• 온라인 광고 콘텐츠 제작 경험 또는 오프라인 홍보물 제작 경험이 있으신 분",
"신입, 경력","지로의 그래픽 디자이너는 두둠 올인원 파트에서 함께 일하게 됩니다.
두둠의 올인원 파트는 대규모 캠페인을 클라이언트에게 직접 수주하여 컨셉 제안부터 제작까지 진행하는 파트로,
아모레퍼시픽, 롯데, 두산 등 빅브랜드에 특화된 에이전시 서비스를 제공합니다.

• 브랜드 캠페인 키비쥬얼 제작
• 브랜드 영상 제작을 위한 에셋 디자인
• 이벤트, 프로모션 등에 사용되는 이벤트 페이지 디자인
• 인스타그램, 뉴스레터 등 소셜미디어 콘텐츠 디자인","∙ 높은 수준의 그래픽디자인과 일러스트레이션 역량을 갖추신 분
∙ 디자인 퀄리티에 대한 기준이 높고, 트렌디한 미감을 갖추신 분
∙ 기획자와 협업을 위한 원활한 커뮤니케이션 능력을 갖추신 분
∙ 브랜드 컨셉과 목적에 맞는 키 비쥬얼 기획력을 갖추신 분","∙ Adobe After Effect 기반의 간단한 영상 제작이 가능한 분
∙ 브랜딩 에이전시 혹은 광고 에이전시에서 디자인 경험이 있는 분
∙ 생성형 AI 등 업무 효율화에 높은 관심을 가지고 꾸준히 학습하시는 분","브랜딩
그래픽 디자인
Adobe Photoshop
Adobe Illustrator
Figma"
신입,"브랜드 아이덴티티(Brand Identity) 및 디자인 가이드라인 구축 및 유지
마케팅 및 홍보용 비주얼 콘텐츠 제작 (SNS, 웹사이트, 광고, 인쇄물 등)
기업 프레젠테이션 및 제안서 디자인
제품 및 서비스의 시각적 브랜딩 및 패키지 디자인
UI/UX 디자인 지원 (웹 및 모바일 환경)
기타 디자인 관련 업무
기업형 브로셔, 포스터, 배너, 명함, 안내책자 등","그래픽 디자인, 시각 디자인 등 관련 전공 학사 이상
Adobe Creative Suite(Photoshop, Illustrator, InDesign 등) 활용 능력 우수자
브랜드 아이덴티티 및 시각적 커뮤니케이션에 대한 이해도 높은 자
인쇄 및 디지털 디자인 전반에 대한 실무 경험
협업 및 커뮤니케이션 능력이 뛰어난 자","기업 브랜드 디자인 경험 보유자
영상 편집 및 모션그래픽 제작 가능자 (After Effects, Premiere Pro)
글로벌 브랜드 또는 B2B 기업 디자인 경험 보유자
부동산 관련 업무 경험",
"신입, 경력","제품 상세페이지, 자사몰 내 광고 배너, 제품 썸네일 등 자사몰 채널에서 노출되는 다양한 콘텐츠의 그래픽을 기획하고 제작해요.
온/오프라인 브랜드 캠페인, 이벤트, 프로모션의 일러스트, 사진 등 다양한 시각 요소를 활용해서 콘텐츠의 내용을 효과적으로 전달하며, 적합한 메타포를 찾아 어떤 크리에이티브를 넣을지 주도적으로 고민해요
사진 촬영, 보정, 편집을 통해 자사몰 채널 및 SNS 채널에 활용될 콘텐츠용 사진을 제작해요.","디자인 파트는 다른 파트들과의 협업이 아주 많은 만큼, 원활한 협업을 위한 커뮤니케이션 능력이 필요해요.
각 콘텐츠의 톤에 적합한 그래픽을 매력적으로 만들어 낼 수 있는 뛰어난 디자인 역량이 필요해요.
다양한 컨셉의 제품들을 쉽고 간결한 그래픽으로 임팩트 있게 표현할 수 있는 시각화 능력이 필요해요.
다양한 형태의 콘텐츠를 빠르고 효율적으로 제작할 수 있는 구조적인 사고방식이 필요해요.
포토샵, 일러스트레이터 등 다양한 툴을 사용하실 수 있는 분이 필요해요.
콘텐츠에 맞는 사진을 촬영하고 보정 및 편집하실 수 있는 분이 필요해요.","이런 강점을 가진 분이면 더욱 좋아요
콘텐츠 그래픽의 전체적인 방향성을 디렉팅하고 주도적으로 이끌어 갈 수 있는 기획 능력 또는 경험이 있으시다면 더욱 좋아요.
이커머스나 F&B 분야 업무 경험이 있는 분이라면 더 좋아요.",Photoshop Elements
경력,"1. VCAT.AI [이미지 만들기] 서비스용 배너 템플릿 디자인
• 대형 브랜드, 플랫폼, 에이전시 고객 대상 스마트배너 템플릿 제작
(현대자동차, 롯데온, G마켓, 아모레퍼시픽, SSG.COM, 현대카드 등)
• 일반 가입 고객 대상 마케팅 템플릿 디자인 제작

2. VCAT.AI 브랜드 마케팅 컨셉 및 키비주얼, 디자인
• DA 디자인 제작 (배너/기사이미지 등)
• SNS 디자인 제작 (썸네일/피드/채널아트 등)
•컨퍼런스, 행사용 인쇄 디자인 제작(브로슈어/행사부스/명함/티셔츠 등)

3. 서비스 소개서 레이아웃 정리 및 디자인 작업","• 그래픽 디자인 실무 경력 2년 ~ 5년
• 포토샵/피그마 활용 능숙자 (기본적인 디자인 툴 활용 가능)
• 트렌드에 민감하고, 감각적인 비주얼을 만들 수 있는 분
• 아이디어를 적극적으로 제안하고, 시각적으로 구현하는 능력을 갖춘 분
• 원활하고 유연한 커뮤니케이션 스킬을 보유한 분","• CSS 이해도가 높은 분 (UI/UX 디자인까지 확장 가능한 분)
• 광고 대행사, 디지털 광고 에이전시, 브랜드 디자인 경험 보유자
• 레이아웃, 컬러, 타이포그래피 감각이 뛰어난 분
• 브랜드 가이드라인 제작 및 운영 경험자
• 서비스, 프로덕트 디자인 경험이 있는 분",
경력,"• 자사 브랜딩 개발 (글루어트, 무화당)
• 자사 브랜드 패키지 디자인 개발 (글루어트, 무화당)
• 상품 상세페이지 디자인
• 기타 인하우스 디자인 그래픽 업무","• 식음료/건강기능식품/베이커리 등 패키지 디자인 3년 이상
• 디자인툴(Adobe, Photoshop, Illustrator)을 능숙하게 다루시는 분
• 인쇄 원리와 프로세스에 대해 잘 알고, 감리 경험이 있으신 분
• 온라인 쇼핑몰 관련 경험이 있으신 분
• 일러스트에 능하신 분
• 트렌드에 민감하고 긍정적인 마인드를 가진 분","• 패키지 작업 경험 우대
• 타부서와의 소통으로 원활한 협업이 가능하신 분
• 창의적인 아이디어로 진취적인 업무를 수행하는 분
• 기획적인 사고를 가지신 분
• MD나 마케터와 함께 일해본 경험이 있으신 분",
경력,"• 사용자가 원하는 템플릿을 쉽게 제작할 수 있도록 연구합니다
• 미리캔버스에서 제일 퀄리티 높은 템플릿 디자인을 기획하고 제작합니다.
• 서비스 업데이트에 따라 템플릿을 관리하고 최적화합니다
• 미리캔버스 내 디자인 데이터를 분석하여 앞으로의 디자인 방향성과 전략을 구축합니다.","• 전문 디자인 경력 2년 이상
• 시각디자인 또는 그래픽디자인 전공자
• 디자인 편집툴(Adobe Photoshop, Illustrator 등) 활용 역량이 높으신 분
• 다양한 이해관계자와의 협업을 위한 적극적인 의사소통이 가능하신 분
• 디자인 프로젝트를 기획 또는 리딩해보신 경험이 있는 분
• 고객 데이터 또는 논리적인 근거를 기반으로 디자인 업무를 하실 수 있는 분
• 미국, 일본 등 해외 디자인 트렌드에 관심이 많으신 분","• 콘텐츠 디자인 또는 편집 디자인 경력 보유하신 분
• 미리캔버스 사용 경험이 있으신 분
• 일본어 또는 영어 가능하신 분
• IT 업계 또는 디자인 스튜디오 출신 경력자
• 2D/3D 일러스트, 영상 편집 툴, 모션 그래픽 가능하신 분
• A/B테스트 등 고객 데이터를 확인하며 사용자 중심의 디자인을 경험해보신 분",
