경력,주요 업무,자격 요건,우대사항,기술
신입,"• 서비스 정책/기능/UI/UX 기획 업무
• IoT 제품 개발 기획 업무","• 비즈니스 영어 회화 능통자(중요)
• 웹 기반 제품 또는 서비스 UI / UX 기획 지식 보유자",해외 거주 및 해외 비즈니스 경험자,영어 실력
신입,"• SSEM 서비스 기획, 설계, 검증 및 개발

[ 우리가 제공하는 것 ]
• 혁신적인 기술로 시장을 선도하며 함께 성장할 기회
• 유연한 근무 환경과 업계 최고 수준의 대우
• 스타트업 테크 시장에서 두각을 나타낼 수 있는 기회","• B2C 앱 서비스의 기획, 개발, 성장을 주도해본 사람
• 개인사업자 시장을 혁신하고 싶은 사람","• 3년 미만의 주니어 (IT업계 또는 연관 업계 근무 경력 기준)
• 전략적인 의사 결정을 바탕으로 실행 전략까지 작성이 가능한 사람
• 0 to 1을 만들어본 사람",
신입,"[ 서비스 기획 및 기능 설계 ]
• 서비스의 핵심 기능과 사용자 경험을 설계하는 데 참여합니다
• 사용자 인터뷰 및 피드백을 분석하여 기획 방향을 구체화합니다
[ 데이터 분석 및 인사이트 도출 ]
• 서비스 이용 데이터를 분석하여 사용자 행동을 파악하고, 이를 기반으로 기획 방향을 설정합니다","• 대학교 4년제 이상
• 시장 분석 및 전략 수립 역량을 갖춘 분
• 다양한 직군과 협업하는 데 적극적이고 원활한 소통이 가능한 분
• 설문 등의 도구를 통해 얻은 인사이트를 바탕으로 문제를 정의하고 해결 방안을 도출해본 분","• 서베이 및 설문조사에 대한 이해도가 높은 분, 관련 이론적 지식을 보유하거나 설문 기획 및 설계, 진행 경험이 있는 분(설문조사 관련 강의를 들은 경험이 있다면 함께 작성해주세요!)
• 사용자 인터뷰, 서베이 등을 통해 인사이트를 도출할 수 있는 분
• 제안서, 기획서 등 문서 작성 경험이 있는 분
• 스타트업 환경에서 서비스의 시작부터 함께하며, 제품을 성장시키는 과정에 흥미가 있는 분
• 변화에 유연하게 적응하며, 새로운 도전을 즐기고 빠르게 배우는 것을 좋아하는 분",
신입,"우리가 찾는 사람
문제를 발견하고 해결하는 것에 몰입할 수 있는 사람, 그리고 실행으로 이어갈 수 있는 사람을 찾습니다.

주요 업무
• 런즈 웹/앱 서비스 기획 및 개선
• 학부모와 학원(파트너) 관점에서 UX/UI 기획 및 사용자 여정 설계
• 데이터 분석 및 사용자 리서치를 기반으로 문제 정의 및 해결방안 도출
• 서비스 기능 기획(요구사항 정의, 와이어프레임, 프로토타입 설계)
• 프로젝트 리딩 및 팀 협업 (디자인, 개발, 마케팅, 운영과 긴밀한 협업)
• 서비스 성과 분석 및 최적화 (A/B 테스트, 사용자 피드백 반영 등)","이런 분을 찾고 있어요
• 문제 발견부터 해결까지 스스로 주도적으로 일할 수 있는 분
• 학부모와 학원의 관점을 고려하여 프로덕트를 기획할 수 있는 분
• 꼼꼼하고 논리적인 사고를 바탕으로 기획을 정리하고 실행할 수 있는 분
• 스타트업 환경에서 빠르게 실행하고 유연하게 대응할 수 있는 분
• 데이터 분석을 통해 서비스 개선을 지속적으로 추진하는 분
프로젝트를 리딩하며 팀과 협업하여 결과를 만들어낼 수 있는 분","이런 분이면 더 좋아요
• 교육 서비스 기획 경험이 있거나, 학부모 및 교육 시장에 대한 이해가 있는 분
• 광고 및 마케팅, 비즈니스 모델 기획 경험이 있는 분
• 다양한 팀과 협업하며 서비스를 완성하는 경험이 있는 분
• Figma, Notion 등의 협업 툴을 능숙하게 다루는 분",
신입,"ㆍ비즈니스 모델 기획 : 새로운 사업 기회를 발굴하고 이에 대한 사업 계획을 수립 및 실행
ㆍ앱/웹 서비스 기획: 모바일 중심의 서비스 기획 및 디자인, 고객 여정 설계와 개선을 통해 사용자 만족도 향상
ㆍ자체 서비스 개선 및 고도화 기획
ㆍUI/UX 디자인을 기반으로 인터페이스 개선
ㆍ다양한 프로덕트 리딩 및 타임라인 수립
ㆍ관계사와의 협업 전략을 수립하고 실행
ㆍ헬스케어 컨텐츠 개발","ㆍ플랫폼 또는 솔루션 기획 경력이 있으신 분 (신입도 지원 가능)
ㆍ요구사항정의서, 기능명세서, 와이어프레임, 스토리보드 등 경험이 있는 분 (신입도 지원 가능)
ㆍ구조적인 사고 능력이 있으며 문제 해결 능력이 뛰어난 분
ㆍ 헬스케어 산업에 관심이 있는 분
ㆍ 협업 능력이 우수하며 커뮤니케이션 능력이 있는 분
ㆍ영업팀과 협업하여 관계사와의 전략 수립이 가능한 분
ㆍ무엇보다 성장의 경험을 하고 싶은 분","ㆍ컴퓨터/시스템공학, 경영/ 예체능계열 전공자
ㆍ포토샵/피그마 능숙자, PPT 작성 능력 우수자
ㆍ서비스 기획에서 구축까지 경험이 있는 분
ㆍ기획한 서비스의 성장을 경험한 적이 있는 분
ㆍ개발팀과 협업 경험이 있는 분
ㆍ플랫폼 또는 솔루션 기획 경력자
ㆍ헬스케어 컨텐츠 개발 경험이 있는 분",
신입,"• 아파트아이 서비스 관련 주요 이슈 관리
• 아파트아이 서비스 운영, 개선 기획
• User 요구사항 분석 및 정책 기획/운영
• 화면 기획(안) 작성 (와이어프레임)","• IT/서비스 기획 관련 전공 및 교육 이수자
• 디자인 툴(Adobe, Figma 등) 사용 경험이 있는 분
• MS 오피스(Word, PPT, Excel) 사용이 능숙하신 분
• 다양한 직군과의 원활한 커뮤니케이션 역량을 보유하신 분
• 포트폴리오 필수 제출","• Web 및 App 서비스 기획 경험이 있는 분
• 다양한 직군과의 원활한 커뮤니케이션 역량을 보유하신 분
• 아파트아이 서비스를 이해하고, 로열티를 가지고 서비스 운영/기획 업무를 희망하시는 분","Power BI, MS 오피스, Adobe, Wireframing, Figma"
신입,"• 집품 서비스의(Web, App) 전반적인 기획 업무를 보조해요
(앱/웹 화면 설계, UXUI 디자인, 기획안 제작, 개발팀과의 협업, 프로젝트 관리)
• 제품에 대한 고객의 니즈를 정성/정량적으로 수집하고 데이터를 분석하여 서비스를 개선해요
• 아이데이션부터 기획, 개발 및 배포까지 전 과정을 보조해요","• Figma를 이용한 앱/웹의 화면 설계 및 UIUX 기획 경험이 있으신 분
• 주도적으로 목표를 설정하고 프로젝트를 진행하실 수 있으신 분","• 창업 관련 동아리, 학회 경험이 있으신 분
• 앱/웹 화면 설계, UI 디자인, 개발자와의 커뮤니케이션 경험이 있으신 분
• 사이드 프로젝트 등을 통해 기획부터 서비스 배포까지 프로덕트 사이클 전반에 대한 경험이 있으신 분",
신입,"• 자사 플랫폼(웹/앱 기반) 서비스 기획
• 서비스 운영 및 성과 분석
• 서비스 개선 주도
• 요구사항 분석 및 정책 기획 및 운영
• 화면 기획안 작성","• 기획서, 제안서, 사업계획서 등 작성 역량을 가지신 분
• 데이터 분석을 통한 인사이트 도출 및 서비스 개선 경험
• 긍정적인 사고, 효과적인 커뮤니케이션이 가능하신 분
• PPT 및 문서작성 능력 보유하신 분
• Figma 사용 경험이 있는 분
• 포트폴리오(필수)","• 플랫폼 내 광고 서비스를 기획해보신 분
• 구조를 설계하고 문제점을 해결해 나간 경험
• 팀 프로젝트 경험이 있으신 분
• 책을 좋아하고 글을 잘 쓰시는 분
• 유관업무 관련 경험이 있으신 분
• GA4, AA 등 데이터 분석 툴 사용 경험 있으신 분","와이어 프레임, Excel, 워드, PowerPoint, Figma"
신입,"-. 서비스 정책, 기능 정의, 화면 설계(Figma 활용 필수)
-. 요구사항 분석 및 인사이트 도출
-. 개발자, 디자이너와의 소통을 통해 기능 구현 진행.","경력무관
-. 파트너쉽 프로젝트(외부)와 인하우스 프로젝트(내부)의 제품들을 디자인하고 팀원간 피드백을 통해 반복해 개선해 가는 과정을 즐기시는 분.
-. 수동적이 아닌 능동적으로 문제를 정의하고 이를 해결해나가는 과정에 어려움을 느끼시지 않는 분.
-. IT 용어를 접함에 있어 어려움이 없는 분.(개발자와 대화 시 최소 50% 정도는 이해하는 정도)","-. 기획 후 상용화 경험이 있으신 분.
-. Figma등 디자인 활용에 어려움이 없는 분.
-. 익숙치 않더라도 항상 배워서 실행하는 일에 부담이 없는 분.",
신입,"[웹 및 앱 서비스의 서비스 기획/PM.PO]
• 요구사항 분석 / 기능명세서 / IA 작성
• 서비스 기획 / Wireframe 기획
• 게임기획 / 레벨디자인
• 백오피스 기획
• 프론트엔드, 백엔드, UI/UX 디자이너와 협업하여 프로덕트 구현
• 프로젝트 단위 이해관계자 커뮤니케이션","• Figma, Powerpoint, Excel 스킬
• 서비스 기획 업무 경험
• 부드러운 커뮤니케이션과 협업 능력
• 주도적인 태도","• 데이터 설계와 분석 능력
• 개발 / 디자인 이해도",
